1145: "PATER: Hm?\p"
1146: "Hah, {PLAYER}, tandem advenisti!\n"
1147: "Commigrationem tuam confecisti, nonne?\p"
1148: "Miror te capacem esse perveniendi ad\n"
1149: "locum hoc per te ipsum.\p"
1150: "O, prehendo.\n"
1151: "Cum POKéMON tuum es.\p"
1152: "Hm… videtur mihi igitur te TRAHITOREM\n"
1153: "velut me futurum esse, {PLAYER}.\p"
1154: "Quam bonum hoc notitium!\n"
1155: "Ad hunc exspectabo!$"
1158: "Um… Ego…\n"
1159: "POKéMON accipere volo, quaeso…$"
1162: "PATER: Hm? Es… Uh… Oh, recte.\n"
1163: "VALIUS es, nonne?$"
1166: "VALIUS: Volo manere cum cognatis meis\n"
1167: "in OPPIDO VIRIDINEMORE.\p"
1168: "Credidi me solitarium futurum esse,\n"
1169: "igitur POKéMON mecum trahere volui.\p"
1170: "Tamen numquam POKéMON antea cepi.\n"
1171: "Nescio quomodo…$"
1174: "PATER: Hm. Video.$"
1177: "PATER: {PLAYER}, audivisti haec\n"
1178: "omnia, nonne?\p"
1179: "I cum VALIO et patere, ut tute\n"
1180: "POKéMON capiat.$"
1183: "VALII, accipe, tibi POKéMON commodabo.\p"
1184: "VALIUS ZIGZAGOON accepit!$"
1187: "VALIUS: O, uou!\n"
1188: "POKéMON est!\p"
1189: "PATER: Hm. Tibi etiam POKé PILAM dabo.\n"
1190: "Noli timere!\p"
1191: "VALIUS POKé PILAM accepit!$"
1194: "VALIUS: O, uou!\n"
1195: "Gratias tibi ago!$"
1198: "{PLAYER}… Visne vere mihi capere\n"
1199: "adiuvare?$"
1202: "PATER: Itaque, bene evadit?$"
1205: "VALIUS: Tibi gratias, sic, bene evadit.\n"
1206: "Accipe rursus POKéMON tuum.\p"
1207: "{PLAYER}, gratias tibi ago quia\n"
1208: "mecum venisti.\p"
1209: "Vos duo causa estis cur POKéMON meum\n"
1210: "capere potui.\p"
1211: "Polliceor me id diligenter curaturum\n"
1212: "esse.\p"
1213: "O! Mater mea me opperitur, ergo\n"
1214: "necesse est egredi!\p"
1215: "Vale, {PLAYER}!$"
1218: "PATER: Nunc…\p"
1219: "{PLAYER}, si TRAHITOREM fortem fieri\n"
1220: "vis, hoc consilium meum est.\p"
1221: "Adverte te ad URBEM FERRIDUNI ultra\n"
1222: "oppidem hoc.\p"
1223: "Illic, tibi GYMNIS RECTRIX, ROXANNA,\n"
1224: "provocanda est.\p"
1225: "Post eam, ito porro ad GYMNA POKéMON\n"
